,Date,Country,City,Perpetrator,Fatalities,Injured,Target
220,2019-12-21,Democratic Republic of the Congo,Epini,Mayi Mayi,Unknown,Unknown,Private Citizens & Property
221,2019-12-21,Mozambique,Chitunda,Unknown,2,0,Transportation
222,2019-12-21,Afghanistan,Karwangah,Taliban,1,0,Police
223,2019-12-21,India,Sangat Gali,Unknown,1,0,Private Citizens & Property
224,2019-12-21,Ethiopia,Mota,Unknown,0,0,Religious Figures/Institutions
225,2019-12-21,Syria,Shinshar,Islamic State of Iraq and the Levant (ISIL),0,0,Utilities
226,2019-12-21,Syria,Rayyan,Islamic State of Iraq and the Levant (ISIL),0,0,Utilities
227,2019-12-21,Syria,Homs,Islamic State of Iraq and the Levant (ISIL),0,0,Utilities
228,2019-12-22,Nepal,Thatikadh,Communist Party of Nepal - Maoist (CPN-Maoist-Chand),0,0,Government (General)
229,2019-12-21,Ethiopia,Mota,Unknown,0,0,Business
230,2019-12-21,Ethiopia,Mota,Unknown,0,0,Religious Figures/Institutions
231,2019-12-21,Ethiopia,Mota,Unknown,0,0,Religious Figures/Institutions
232,2019-12-21,Ethiopia,Mota,Unknown,0,0,Religious Figures/Institutions
233,2019-12-21,Ethiopia,Mota,Unknown,0,0,Religious Figures/Institutions
234,2019-12-21,Iraq,Baghdad,Unknown,0,3,Private Citizens & Property
235,2019-12-21,Iraq,Baghdad,Unknown,0,4,Private Citizens & Property
236,2019-12-21,Iraq,Mukhaysah,Islamic State of Iraq and the Levant (ISIL),1,0,Military
237,2019-12-21,Iraq,Baiji,Islamic State of Iraq and the Levant (ISIL),5,1,Police
238,2019-12-21,Colombia,Rio Negro,Revolutionary Armed Forces of Colombia (FARC) dissidents,1,2,Private Citizens & Property
239,2019-12-21,Yemen,Dali,Muslim extremists,0,0,NGO
240,2019-12-21,Yemen,Dali,Muslim extremists,0,0,NGO
241,2019-12-21,Yemen,Dali,Muslim extremists,0,0,NGO
242,2019-12-21,Yemen,Dali,Muslim extremists,0,0,NGO
243,2019-12-21,Yemen,Dali,Muslim extremists,0,1,NGO
244,2019-12-21,Philippines,Santa Catalina district,New People's Army (NPA),1,0,Private Citizens & Property
